customer_id,customer_name,email,city,state
1,Customer_1,customer1@example.com,Delhi,Telangana
2,Customer_2,customer2@example.com,Hyderabad,Delhi
3,Customer_3,customer3@example.com,Chennai,Karnataka
4,Customer_4,customer4@example.com,Bengaluru,Karnataka
5,Customer_5,customer5@example.com,Delhi,Telangana
6,Customer_6,customer6@example.com,Delhi,Delhi
7,Customer_7,customer7@example.com,Pune,Telangana
8,Customer_8,customer8@example.com,Pune,Maharashtra
9,Customer_9,customer9@example.com,Hyderabad,Telangana
10,Customer_10,customer10@example.com,Hyderabad,Karnataka
11,Customer_11,customer11@example.com,Bengaluru,Maharashtra
12,Customer_12,customer12@example.com,Pune,Telangana
13,Customer_13,customer13@example.com,Pune,Karnataka
14,Customer_14,customer14@example.com,Delhi,Delhi
15,Customer_15,customer15@example.com,Delhi,Maharashtra
16,Customer_16,customer16@example.com,Mumbai,Karnataka
17,Customer_17,customer17@example.com,Mumbai,Maharashtra
18,Customer_18,customer18@example.com,Chennai,Telangana
19,Customer_19,customer19@example.com,Bengaluru,Delhi
20,Customer_20,customer20@example.com,Mumbai,Tamil Nadu
21,Customer_21,customer21@example.com,Chennai,Karnataka
22,Customer_22,customer22@example.com,Bengaluru,Tamil Nadu
23,Customer_23,customer23@example.com,Hyderabad,Telangana
24,Customer_24,customer24@example.com,Mumbai,Telangana
25,Customer_25,customer25@example.com,Chennai,Tamil Nadu
26,Customer_26,customer26@example.com,Pune,Tamil Nadu
27,Customer_27,customer27@example.com,Hyderabad,Delhi
28,Customer_28,customer28@example.com,Mumbai,Maharashtra
29,Customer_29,customer29@example.com,Hyderabad,Maharashtra
30,Customer_30,customer30@example.com,Hyderabad,Maharashtra
31,Customer_31,customer31@example.com,Chennai,Delhi
32,Customer_32,customer32@example.com,Pune,Tamil Nadu
33,Customer_33,customer33@example.com,Pune,Karnataka
34,Customer_34,customer34@example.com,Delhi,Telangana
35,Customer_35,customer35@example.com,Hyderabad,Delhi
36,Customer_36,customer36@example.com,Bengaluru,Tamil Nadu
37,Customer_37,customer37@example.com,Hyderabad,Karnataka
38,Customer_38,customer38@example.com,Hyderabad,Maharashtra
39,Customer_39,customer39@example.com,Chennai,Maharashtra
40,Customer_40,customer40@example.com,Delhi,Tamil Nadu
41,Customer_41,customer41@example.com,Bengaluru,Tamil Nadu
42,Customer_42,customer42@example.com,Chennai,Karnataka
43,Customer_43,customer43@example.com,Delhi,Tamil Nadu
44,Customer_44,customer44@example.com,Delhi,Delhi
45,Customer_45,customer45@example.com,Delhi,Telangana
46,Customer_46,customer46@example.com,Pune,Delhi
47,Customer_47,customer47@example.com,Bengaluru,Maharashtra
48,Customer_48,customer48@example.com,Delhi,Karnataka
49,Customer_49,customer49@example.com,Bengaluru,Maharashtra
50,Customer_50,customer50@example.com,Mumbai,Tamil Nadu
51,Customer_51,customer51@example.com,Delhi,Delhi
52,Customer_52,customer52@example.com,Pune,Karnataka
53,Customer_53,customer53@example.com,Delhi,Tamil Nadu
54,Customer_54,customer54@example.com,Hyderabad,Karnataka
55,Customer_55,customer55@example.com,Hyderabad,Tamil Nadu
56,Customer_56,customer56@example.com,Mumbai,Tamil Nadu
57,Customer_57,customer57@example.com,Hyderabad,Karnataka
58,Customer_58,customer58@example.com,Pune,Delhi
59,Customer_59,customer59@example.com,Chennai,Karnataka
60,Customer_60,customer60@example.com,Delhi,Maharashtra
61,Customer_61,customer61@example.com,Mumbai,Delhi
62,Customer_62,customer62@example.com,Mumbai,Karnataka
63,Customer_63,customer63@example.com,Chennai,Karnataka
64,Customer_64,customer64@example.com,Bengaluru,Delhi
65,Customer_65,customer65@example.com,Pune,Maharashtra
66,Customer_66,customer66@example.com,Chennai,Delhi
67,Customer_67,customer67@example.com,Pune,Maharashtra
68,Customer_68,customer68@example.com,Pune,Maharashtra
69,Customer_69,customer69@example.com,Chennai,Karnataka
70,Customer_70,customer70@example.com,Bengaluru,Maharashtra
71,Customer_71,customer71@example.com,Mumbai,Telangana
72,Customer_72,customer72@example.com,Hyderabad,Telangana
73,Customer_73,customer73@example.com,Bengaluru,Delhi
74,Customer_74,customer74@example.com,Bengaluru,Delhi
75,Customer_75,customer75@example.com,Mumbai,Maharashtra
76,Customer_76,customer76@example.com,Hyderabad,Maharashtra
77,Customer_77,customer77@example.com,Mumbai,Maharashtra
78,Customer_78,customer78@example.com,Mumbai,Maharashtra
79,Customer_79,customer79@example.com,Chennai,Maharashtra
80,Customer_80,customer80@example.com,Hyderabad,Delhi
81,Customer_81,customer81@example.com,Delhi,Telangana
82,Customer_82,customer82@example.com,Delhi,Maharashtra
83,Customer_83,customer83@example.com,Chennai,Delhi
84,Customer_84,customer84@example.com,Chennai,Telangana
85,Customer_85,customer85@example.com,Chennai,Maharashtra
86,Customer_86,customer86@example.com,Bengaluru,Maharashtra
87,Customer_87,customer87@example.com,Hyderabad,Delhi
88,Customer_88,customer88@example.com,Delhi,Tamil Nadu
89,Customer_89,customer89@example.com,Pune,Karnataka
90,Customer_90,customer90@example.com,Pune,Telangana
91,Customer_91,customer91@example.com,Delhi,Tamil Nadu
92,Customer_92,customer92@example.com,Delhi,Maharashtra
93,Customer_93,customer93@example.com,Pune,Karnataka
94,Customer_94,customer94@example.com,Bengaluru,Tamil Nadu
95,Customer_95,customer95@example.com,Bengaluru,Maharashtra
96,Customer_96,customer96@example.com,Pune,Telangana
97,Customer_97,customer97@example.com,Pune,Tamil Nadu
98,Customer_98,customer98@example.com,Mumbai,Telangana
99,Customer_99,customer99@example.com,Hyderabad,Tamil Nadu
100,Customer_100,customer100@example.com,Chennai,Karnataka
101,Customer_101,customer101@example.com,Hyderabad,Karnataka
102,Customer_102,customer102@example.com,Pune,Telangana
103,Customer_103,customer103@example.com,Hyderabad,Delhi
104,Customer_104,customer104@example.com,Mumbai,Telangana
105,Customer_105,customer105@example.com,Pune,Karnataka
106,Customer_106,customer106@example.com,Bengaluru,Delhi
107,Customer_107,customer107@example.com,Mumbai,Maharashtra
108,Customer_108,customer108@example.com,Bengaluru,Tamil Nadu
109,Customer_109,customer109@example.com,Pune,Maharashtra
110,Customer_110,customer110@example.com,Mumbai,Karnataka
111,Customer_111,customer111@example.com,Pune,Delhi
112,Customer_112,customer112@example.com,Delhi,Karnataka
113,Customer_113,customer113@example.com,Delhi,Tamil Nadu
114,Customer_114,customer114@example.com,Mumbai,Delhi
115,Customer_115,customer115@example.com,Delhi,Tamil Nadu
116,Customer_116,customer116@example.com,Mumbai,Maharashtra
